TRK_VERSION,0.5
Images,ExpID2976_P3_TL01.png,,ExpID2976_P3_TL02.png,,ExpID2976_P3_TL03.png,,ExpID2976_P3_TL04.png,,ExpID2976_P3_TL05.png,,ExpID2976_P3_TL06_grey_adj.png,,ExpID2976_P3_TL07_grey_adj.png,
Point 86,,,,,0.0001568,9.114e-05,0.00026152,0.00015288,0.00032172,0.00015932,0.00038052,0.00011928,0.00043596,8.988e-05
Point 87,,,,,0.00017374,9.296e-05,0.00028154,0.00015596,0.00034706,0.0001652,0.00040838,0.0001246,0.0004697,9.576e-05
Point 88,,,,,0.00015722,0.00010794,0.0002618,0.0001764,0.000322,0.00019152,0.00038108,0.0001582,0.0004368,0.0001358
Point 89,,,,,0.00017388,0.0001057,0.0002835,0.0001736,0.00034986,0.00018956,0.0004137,0.00015428,0.00047698,0.0001302
Point 90,,,,,0.00013874,0.00010472,0.00023828,0.00017164,0.00029148,0.0001848,0.00034328,0.00015064,0.0003934,0.00012572
Point 91,,,,,0.00015554,0.00010906,0.00025998,0.00017766,0.00031962,0.00019278,0.0003787,0.00016058,0.0004333,0.0001393
Point 92,,,,,0.00012474,0.00010724,0.00022134,0.00017626,0.0002709,0.00018998,0.00031346,0.00015694,0.00035854,0.00013398
Point 93,,,,,0.00012376,0.00011704,0.0002198,0.00019068,0.00026838,0.00021,0.00031038,0.00018312,0.00035182,0.00016436
Point 94,,,,,0.00011802,0.00012964,0.00020916,0.00021056,0.00025466,0.0002394,0.00028574,0.00022512,0.00031318,0.00022232
Point 95,,,,,0.00014126,0.00012894,0.00024178,0.00021014,0.00029736,0.00023758,0.00034972,0.0002205,0.00039592,0.00021322
Point 96,,,,,0.0001855,0.00010612,0.00029904,0.0001736,0.00036988,0.00018928,0.00043596,0.00015288,0.00050372,0.00012712
Point 97,,,,,0.00019082,0.00011662,0.00030646,0.00018984,0.00038066,0.00021112,0.00045066,0.00017892,0.00052318,0.00015568
Point 98,,,,,0.00018928,0.000133,0.00030562,0.00021364,0.00037898,0.00024248,0.00044982,0.00022148,0.0005229,0.00020972
Point 99,,,,,0.00020118,0.00012306,0.00032214,0.00019852,0.00040026,0.00022372,0.00047278,0.00019292,0.00054894,0.0001722
Point 100,,,,,0.00017556,0.0001379,0.00028728,0.00022288,0.00035448,0.0002562,0.00042028,0.00024304,0.00048636,0.000238
Point 101,,,,,0.00018928,0.00013622,0.00030646,0.0002184,0.00037898,0.0002492,0.00044954,0.000231,0.00052206,0.0002226
Point 102,,,,,0.00012894,0.00014084,0.0002247,0.00022988,0.00027678,0.00026726,0.00031542,0.00026138,0.00034566,0.00026474
Point 103,,,,,0.00012922,0.00015946,0.00022484,0.00026082,0.00027636,0.0003087,0.00031276,0.00031206,0.00034524,0.00032186
Point 104,,,,,0.0001302,0.0001519,0.00022666,0.00024738,0.00027902,0.00028994,0.00031878,0.00028882,0.00035294,0.00029498
Point 105,,,,,0.00014,0.00015302,0.00024024,0.00024948,0.00029638,0.0002912,0.00034594,0.00029148,0.00039074,0.0002982
Point 106,,,,,0.0001295,0.00014854,0.00022582,0.00024388,0.0002779,0.00028532,0.0003171,0.00028252,0.00034902,0.00028868
Point 107,,,,,0.00012138,0.0001533,0.00021294,0.0002513,0.00026152,0.00029512,0.00029204,0.00029344,0.000315,0.0002996
Point 108,,,,,0.00015792,0.00014294,0.00026292,0.00023296,0.00032256,0.00027188,0.00038276,0.00026516,0.0004382,0.00026824
Point 109,,,,,0.0001463,0.0001589,0.00024962,0.00026012,0.00030646,0.0003052,0.00036078,0.00030996,0.00041174,0.00032424
Point 110,,,,,0.00015995,0.00015484,0.00026789,0.0002527,0.00033005,0.00029722,0.00038941,0.00029918,0.00044597,0.00030926
Point 111,,,,,0.00017563,0.00015687,0.00028791,0.00025473,0.00035399,0.00029995,0.00041699,0.00030331,0.00048335,0.00031591
Point 112,,,,,0.0001603,0.00014861,0.0002688,0.00024297,0.00033138,0.00028539,0.00039158,0.00028287,0.00044842,0.00029155
Point 113,,,,,0.00017633,0.0001498,0.00028889,0.00024276,0.00035651,0.00028266,0.00042203,0.00027986,0.00048727,0.00028042
Point 114,,,,,0.00016324,0.00016688,0.00027216,0.00027468,0.00033404,0.00032564,0.00039284,0.00034104,0.00045276,0.00036176
Point 115,,,,,0.00015946,0.00019341,0.0002653,0.00032109,0.00032508,0.00038633,0.00037996,0.00043141,0.0004382,0.00047873
Point 116,,,,,0.0001519,0.00017787,0.00025732,0.00029267,0.0003164,0.00034867,0.00037128,0.00037135,0.00042812,0.00040075
Point 117,,,,,0.00016177,0.00017822,0.00026985,0.00029442,0.00033033,0.00035126,0.00038577,0.00037674,0.00044541,0.00040782
Point 118,,,,,0.00016205,0.00017962,0.00027041,0.00029708,0.00033145,0.00035602,0.00038689,0.00038374,0.00044569,0.00041846
Point 119,,,,,0.00017003,0.00018137,0.00028049,0.00029883,0.00034475,0.00035791,0.00040159,0.00038703,0.00046599,0.00041979
Point 120,,,0.00010626,0.00014644,0.00013524,0.0001722,0.00023324,0.0002849,0.00028742,0.0003381,0.00033362,0.00035378,0.00037982,0.00037618
Point 121,,,0.00011438,0.00015554,0.00014476,0.0001862,0.00024612,0.00030562,0.00030352,0.00036638,0.00035504,0.00040082,0.00040628,0.00044002
Point 122,,,,,0.00014966,0.00020426,0.00025214,0.00034076,0.00031178,0.00041482,0.0003633,0.0004697,0.00042042,0.0005285
Point 123,,,,,0.0001372,0.00020748,0.00023646,0.00034552,0.00029274,0.00042448,0.00034034,0.00048104,0.00038934,0.00054208
Point 124,,,,,0.00014742,0.00016324,0.00025074,0.0002688,0.00030842,0.00031836,0.00036218,0.00032732,0.00041426,0.00034608
Point 125,,,,,0.00013958,0.00017472,0.00024066,0.00028784,0.0002968,0.00034314,0.00034608,0.00036246,0.00039648,0.00039046
Point 126,,,,,0.0001414,0.00019068,0.0002422,0.0003171,0.00029904,0.00038304,0.00035112,0.0004242,0.00040292,0.00047068
